,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
312,bandarban,40,BD,2020-03-21 17:53:22,88,22.2,92.23,78.8,3.87
313,standerton,59,ZA,2020-03-21 17:53:22,42,-26.93,29.24,66.34,5.23
314,fortuna,1,US,2020-03-21 17:53:22,71,40.6,-124.16,57.0,1.45
315,najran,40,SA,2020-03-21 17:53:22,44,17.49,44.13,80.6,16.11
316,dzilam gonzalez,0,MX,2020-03-21 17:53:22,83,21.28,-88.93,77.14,21.12
317,waipawa,99,NZ,2020-03-21 17:53:22,77,-41.41,175.52,64.4,20.8
318,cidreira,1,BR,2020-03-21 17:53:23,66,-30.18,-50.21,73.9,9.82
319,severo-kurilsk,100,RU,2020-03-21 17:53:23,96,50.68,156.12,26.2,20.94
320,tongliao,50,CN,2020-03-21 17:53:23,44,43.61,122.27,32.68,9.33
321,campbell river,20,CA,2020-03-21 17:53:23,65,50.02,-125.24,46.99,10.29
322,adrar,18,MR,2020-03-21 17:53:23,16,20.5,-10.07,80.92,7.76
323,douglas,90,US,2020-03-21 17:50:54,64,41.3,-96.17,39.99,10.29
324,stepnyak,100,KZ,2020-03-21 17:53:23,84,52.83,70.78,33.94,21.27
325,mairana,80,BO,2020-03-21 17:53:23,56,-18.12,-63.93,71.2,2.8
326,abu samrah,49,SY,2020-03-21 17:53:23,61,35.3,37.18,49.96,10.11
327,ozinki,4,RU,2020-03-21 17:53:23,65,51.18,49.68,36.28,6.71
328,picos,100,BR,2020-03-21 17:53:24,88,-7.08,-41.47,78.76,5.59
329,north bend,1,US,2020-03-21 17:53:24,100,43.41,-124.22,52.0,3.02
330,mago,100,RU,2020-03-21 17:53:24,88,53.25,140.18,16.12,5.28
331,quelimane,5,MZ,2020-03-21 17:53:24,71,-17.88,36.89,75.88,5.14
332,liwale,6,TZ,2020-03-21 17:53:24,97,-9.77,37.93,71.38,1.86
333,jocotan,26,GT,2020-03-21 17:53:24,44,14.82,-89.38,85.24,7.65
334,ossora,95,RU,2020-03-21 17:53:24,95,59.24,163.07,33.22,19.55
335,tarbagatay,20,RU,2020-03-21 17:53:24,74,51.48,107.36,30.2,4.47
336,tiksi,79,RU,2020-03-21 17:53:24,88,71.69,128.87,-12.68,10.6
337,fairbanks,90,US,2020-03-21 17:53:24,92,64.84,-147.72,28.99,3.76
338,yara,2,CU,2020-03-21 17:53:24,34,20.28,-76.95,92.44,14.05
339,chapais,75,CA,2020-03-21 17:53:24,60,49.78,-74.85,6.8,11.41
340,zhangjiakou,0,CN,2020-03-21 17:53:24,43,40.81,114.88,31.6,4.94
341,svetlogorsk,71,BY,2020-03-21 17:53:25,94,52.63,29.73,34.3,15.86
342,mangai,100,CD,2020-03-21 17:53:25,98,-4.05,19.53,70.3,2.39
343,tulsipur,80,NP,2020-03-21 17:53:25,72,28.13,82.3,60.22,6.08
344,nizhniy tsasuchey,100,RU,2020-03-21 17:53:25,73,50.52,115.13,29.26,8.97
345,college,90,US,2020-03-21 17:53:25,92,64.86,-147.8,28.99,3.0
346,touros,40,BR,2020-03-21 17:53:25,59,-5.2,-35.46,89.6,11.41
347,bulungu,100,CD,2020-03-21 17:53:25,91,-4.55,18.6,71.56,4.85
348,pavlohrad,75,UA,2020-03-21 17:53:25,75,48.52,35.87,44.6,5.48
349,kemin,100,KG,2020-03-21 17:53:25,93,42.78,75.69,38.08,5.86
350,san marcos,1,US,2020-03-21 17:53:25,67,33.14,-117.17,63.0,3.36
351,belaya gora,0,RU,2020-03-21 17:53:25,79,68.53,146.42,-2.96,4.94
352,copiapo,90,CL,2020-03-21 17:52:50,68,-27.37,-70.33,66.2,7.67
353,kenora,40,CA,2020-03-21 17:53:25,27,49.82,-94.43,23.0,12.75
354,bloemhof,88,ZA,2020-03-21 17:53:26,34,-27.65,25.61,73.18,6.98
355,galesong,40,ID,2020-03-21 17:53:26,94,-5.32,119.37,77.0,8.05
356,alofi,100,NU,2020-03-21 17:53:26,94,-19.06,-169.92,75.2,8.05
357,neyshabur,29,IR,2020-03-21 17:53:26,69,36.21,58.8,52.3,25.05
358,tazovskiy,83,RU,2020-03-21 17:53:26,96,67.47,78.7,-4.22,12.46
359,smithers,20,CA,2020-03-21 17:53:26,68,54.78,-127.17,30.2,2.24
360,ancud,90,CL,2020-03-21 17:53:26,87,-41.87,-73.82,59.0,16.11
361,sao geraldo do araguaia,99,BR,2020-03-21 17:53:26,92,-6.4,-48.55,77.68,7.0
362,nouadhibou,16,MR,2020-03-21 17:53:26,50,20.93,-17.03,75.2,19.46
363,parambu,100,BR,2020-03-21 17:53:26,77,-6.21,-40.69,81.28,5.59
364,rabat,20,MA,2020-03-21 17:53:26,59,33.99,-6.84,62.6,20.8
365,hwange,1,ZW,2020-03-21 17:53:27,91,-18.37,26.5,68.68,3.31
366,praia,20,CV,2020-03-21 17:49:02,53,14.92,-23.51,77.0,24.16
367,dongying,32,CN,2020-03-21 17:53:27,42,37.46,118.49,46.54,4.52
368,burnie,61,AU,2020-03-21 17:53:27,70,-41.07,145.92,54.0,4.0
369,airai,71,TL,2020-03-21 17:53:27,90,-8.93,125.41,65.44,3.83
370,soubre,59,CI,2020-03-21 17:53:27,71,5.79,-6.61,84.88,3.78
371,nyurba,82,RU,2020-03-21 17:53:27,97,63.28,118.33,-8.9,5.79
372,porto walter,74,BR,2020-03-21 17:53:27,69,-8.27,-72.74,85.78,3.49
373,sisimiut,99,GL,2020-03-21 17:53:27,86,66.94,-53.67,4.78,1.21
374,naushki,67,RU,2020-03-21 17:53:27,66,50.38,106.11,27.28,2.55
375,hadishahr,100,AZ,2020-03-21 17:53:27,65,38.84,45.66,44.6,11.41
376,nicoya,20,CR,2020-03-21 17:53:27,43,10.15,-85.45,91.4,31.09
377,cabedelo,20,BR,2020-03-21 17:49:48,62,-6.98,-34.83,89.6,9.17
378,hojai,30,IN,2020-03-21 17:53:28,48,26.0,92.87,70.12,2.35
379,kapit,91,MY,2020-03-21 17:53:28,99,2.02,112.93,71.74,0.34
380,zabaykalsk,54,RU,2020-03-21 17:53:28,61,49.63,117.32,22.24,4.29
381,menongue,100,AO,2020-03-21 17:53:28,93,-14.66,17.69,66.34,6.53
382,outlook,37,CA,2020-03-21 17:53:28,59,51.5,-107.05,27.1,5.57
383,nizhneudinsk,93,RU,2020-03-21 17:53:28,79,54.91,99.03,30.16,3.2
384,ugoofaaru,23,MV,2020-03-21 17:50:56,72,5.67,73.0,83.44,6.82
385,palizada,5,MX,2020-03-21 17:53:28,58,18.25,-92.08,87.8,13.87
386,vohibinany,87,MG,2020-03-21 17:53:28,99,-17.35,49.03,66.88,2.1
387,riachao do jacuipe,100,BR,2020-03-21 17:53:28,46,-11.81,-39.39,90.64,6.67
388,angoche,7,MZ,2020-03-21 17:53:29,85,-16.23,39.91,74.44,4.16
389,mehran,90,IR,2020-03-21 17:53:29,70,33.12,46.16,48.2,9.17
390,kalmunai,41,LK,2020-03-21 17:53:29,72,7.42,81.82,81.28,9.31
391,northam,100,GB,2020-03-21 17:53:29,70,51.03,-4.22,48.99,16.11
392,nynashamn,0,SE,2020-03-21 17:53:29,66,58.9,17.95,33.8,8.05
393,magadan,100,RU,2020-03-21 17:53:29,94,59.57,150.8,16.12,14.43
394,nanortalik,100,GL,2020-03-21 17:53:29,60,60.14,-45.24,27.64,27.51
395,matay,0,EG,2020-03-21 17:53:29,36,28.42,30.78,60.22,5.75
396,itarantim,100,BR,2020-03-21 17:53:29,76,-15.66,-40.07,83.62,3.38
397,lata,20,PT,2020-03-21 17:53:29,62,40.16,-8.33,60.01,8.05
398,salta,40,AR,2020-03-21 17:53:29,57,-24.79,-65.41,75.2,3.36
399,lander,1,US,2020-03-21 17:53:30,44,42.83,-108.73,46.0,4.7
400,lagoa,43,PT,2020-03-21 17:53:30,70,39.05,-27.98,54.46,21.34
401,miri,75,MY,2020-03-21 17:53:30,100,4.41,114.01,78.8,5.55
402,nova borova,100,UA,2020-03-21 17:53:30,68,50.69,28.63,39.52,13.2
403,tocopilla,0,CL,2020-03-21 17:53:30,38,-22.09,-70.2,71.92,14.25
404,tshikapa,91,CD,2020-03-21 17:53:30,89,-6.42,20.8,70.66,4.18
405,soure,100,BR,2020-03-21 17:53:30,81,-0.72,-48.52,79.48,4.0
406,urumqi,0,CN,2020-03-21 17:53:30,49,43.8,87.6,46.4,6.71
407,longonjo,35,AO,2020-03-21 17:53:30,88,-12.91,15.25,64.18,3.56
408,tevaitoa,50,PF,2020-03-21 17:53:30,75,-16.78,-151.5,83.08,8.86
409,sitka,90,US,2020-03-21 17:53:30,86,57.05,-135.33,37.4,5.82
410,deputatskiy,59,RU,2020-03-21 17:53:30,96,69.3,139.9,-10.52,1.86
411,ketchikan,1,US,2020-03-21 17:53:30,75,55.34,-131.65,41.0,14.99
412,fantanele,40,RO,2020-03-21 17:53:31,87,46.12,21.4,51.01,17.22
413,moncao,75,PT,2020-03-21 17:53:31,87,42.08,-8.48,59.0,9.17
414,jacala,96,MX,2020-03-21 17:53:31,88,21.02,-99.18,66.16,4.56
415,caravelas,100,BR,2020-03-21 17:53:31,81,-17.71,-39.25,82.9,16.24
416,vanavara,11,RU,2020-03-21 17:53:31,96,60.34,102.28,14.86,2.84
417,klyuchi,100,RU,2020-03-21 17:53:31,99,52.27,79.17,37.18,16.62
418,oshnaviyeh,40,IR,2020-03-21 17:53:31,70,37.04,45.1,44.6,4.7
419,mingguang,100,CN,2020-03-21 17:53:31,62,32.78,117.96,63.28,14.61
420,nur,55,PL,2020-03-21 17:53:31,49,52.67,22.32,31.96,10.63
421,ayr,40,GB,2020-03-21 17:48:40,45,55.46,-4.63,46.99,13.87
422,husavik,20,IS,2020-03-21 17:53:31,59,66.04,-17.34,33.8,19.46
423,itarema,95,BR,2020-03-21 17:53:31,75,-2.92,-39.92,84.34,5.01
424,zaragoza,20,ES,2020-03-21 17:49:44,51,41.66,-0.88,60.8,6.93
425,dobretu,80,RO,2020-03-21 17:53:32,44,44.5,23.95,59.0,3.36
426,high level,75,CA,2020-03-21 17:53:32,64,58.52,-117.14,33.8,18.34
427,pemberton,5,CA,2020-03-21 17:53:32,64,50.32,-122.8,37.4,2.24
428,vaitape,27,PF,2020-03-21 17:53:32,75,-16.52,-151.75,83.08,10.56
429,alta floresta,98,BR,2020-03-21 17:53:32,88,-9.88,-56.09,78.04,7.92
430,ixtapa,20,MX,2020-03-21 17:53:32,69,20.7,-105.2,79.0,4.7
431,heihe,26,CN,2020-03-21 17:53:32,57,50.24,127.49,21.2,4.47
432,klamath falls,90,US,2020-03-21 17:53:32,75,42.22,-121.78,45.0,3.44
433,dezful,82,IR,2020-03-21 17:53:32,77,32.38,48.41,59.86,8.81
434,pauini,1,BR,2020-03-21 17:53:32,52,-7.71,-66.98,92.98,1.72
435,centralia,90,US,2020-03-21 17:53:32,87,46.72,-122.95,46.99,0.09
436,anloga,20,GH,2020-03-21 17:53:32,70,5.79,0.9,86.0,12.75
437,binzhou,35,CN,2020-03-21 17:53:32,63,37.37,118.02,48.0,2.89
438,trojes,95,AL,2020-03-21 17:53:32,71,41.76,19.96,57.2,4.7
439,oranjemund,0,NA,2020-03-21 17:53:33,80,-28.55,16.43,62.74,14.36
440,imbituba,20,BR,2020-03-21 17:53:33,69,-28.24,-48.67,80.6,11.41
441,tilichiki,100,RU,2020-03-21 17:53:33,96,60.47,166.1,19.54,8.61
442,qui nhon,19,VN,2020-03-21 17:48:52,95,13.77,109.23,68.32,2.1
443,carnarvon,97,AU,2020-03-21 17:43:53,83,-24.87,113.63,78.8,13.87
444,rumoi,0,JP,2020-03-21 17:53:33,60,43.93,141.64,41.14,12.64
445,riyadh,0,SA,2020-03-21 17:52:30,25,24.69,46.72,75.2,2.24
446,bozoum,87,CF,2020-03-21 17:53:33,57,6.32,16.38,80.2,5.77
447,solnechnyy,15,RU,2020-03-21 17:53:33,84,50.72,136.63,10.72,6.06
448,goundam,38,ML,2020-03-21 17:53:33,12,16.41,-3.67,93.52,9.37
449,marsh harbour,63,BS,2020-03-21 17:53:33,70,26.54,-77.06,74.08,9.35
450,bagan,100,RU,2020-03-21 17:53:34,99,54.1,77.66,35.38,15.88
451,atasu,100,KZ,2020-03-21 17:53:34,98,48.68,71.64,34.48,16.62
452,peniche,40,PT,2020-03-21 17:53:34,71,39.36,-9.38,59.0,4.7
453,parana,0,AR,2020-03-21 17:50:40,32,-31.73,-60.52,87.01,4.0
454,vardo,93,NO,2020-03-21 17:53:34,79,70.37,31.11,28.54,27.49
455,dwarka,0,IN,2020-03-21 17:53:34,92,22.24,68.97,75.34,13.73
456,kitimat,40,CA,2020-03-21 17:53:34,80,54.05,-128.65,39.99,8.05
457,oirschot,40,NL,2020-03-21 17:53:34,45,51.51,5.31,46.99,17.22
458,kuytun,100,RU,2020-03-21 17:53:34,83,54.34,101.5,27.46,3.69
459,bontang,74,ID,2020-03-21 17:53:34,91,0.13,117.5,75.88,6.51
460,lawton,1,US,2020-03-21 17:53:34,49,34.61,-98.39,50.0,10.29
461,severnoye,100,RU,2020-03-21 17:53:34,97,56.35,78.36,30.52,7.63
462,beirut,20,LB,2020-03-21 17:49:55,62,33.89,35.49,57.2,4.7
463,pangnirtung,90,CA,2020-03-21 17:53:34,76,66.15,-65.71,-7.6,5.82
464,araceli,0,PH,2020-03-21 17:53:35,80,10.55,119.99,82.18,17.85
465,atambua,93,ID,2020-03-21 17:53:35,86,-9.11,124.89,73.36,3.18
466,bonavista,47,CA,2020-03-21 17:53:35,66,48.65,-53.11,37.99,35.01
467,dargaville,17,NZ,2020-03-21 17:53:35,97,-35.93,173.88,55.36,4.09
468,moen,95,NO,2020-03-21 17:53:35,74,69.13,18.61,33.8,24.16
469,ulladulla,40,AU,2020-03-21 17:53:35,87,-35.35,150.47,60.8,4.0
470,luena,29,AO,2020-03-21 17:53:35,91,-11.78,19.92,67.24,2.21
471,wanning,4,CN,2020-03-21 17:53:35,93,18.8,110.4,73.54,8.48
472,kutum,75,SD,2020-03-21 17:53:35,14,14.2,24.67,73.0,8.01
473,pringsewu,99,ID,2020-03-21 17:53:36,95,-5.36,104.97,72.82,0.94
474,behbahan,40,IR,2020-03-21 17:53:36,78,30.6,50.24,71.6,21.92
475,bembereke,100,BJ,2020-03-21 17:53:36,33,10.23,2.66,93.52,8.48
476,bilibino,3,RU,2020-03-21 17:53:36,71,68.05,166.44,-16.82,3.09
477,monrovia,75,LR,2020-03-21 17:51:01,94,6.3,-10.8,77.0,8.05
478,sri aman,100,MY,2020-03-21 17:53:36,100,1.24,111.46,75.2,1.81
479,berlevag,100,NO,2020-03-21 17:53:36,88,70.86,29.09,36.1,22.93
480,cartagena del chaira,18,CO,2020-03-21 17:53:36,35,1.33,-74.84,94.96,6.69
481,whitehorse,90,CA,2020-03-21 17:53:36,73,60.72,-135.05,25.0,16.11
482,kirkwall,20,GB,2020-03-21 17:53:36,70,58.98,-2.96,42.8,28.86
483,hami,82,CN,2020-03-21 17:53:36,29,42.8,93.45,55.0,8.39
484,sidhi,18,IN,2020-03-21 17:51:45,58,24.42,81.88,73.36,5.7
485,zabol,40,AF,2020-03-21 17:50:11,40,32.25,67.25,49.42,4.7
486,groningen,0,NL,2020-03-21 17:53:37,48,53.25,6.75,43.0,14.99
487,nerchinskiy zavod,0,RU,2020-03-21 17:53:37,75,51.31,119.61,10.18,2.82
488,pangody,0,RU,2020-03-21 17:53:37,93,65.85,74.49,-8.18,10.63
489,sioux lookout,40,CA,2020-03-21 17:53:37,27,50.1,-91.92,23.0,3.36
490,mehamn,94,NO,2020-03-21 17:53:37,88,71.04,27.85,33.94,19.37
491,gizo,80,SB,2020-03-21 17:53:37,85,-8.1,156.84,76.96,2.86
492,punta gorda,40,US,2020-03-21 17:53:37,57,26.93,-82.05,88.0,5.01
493,foam lake,43,CA,2020-03-21 17:53:37,93,51.65,-103.53,16.48,8.1
494,poum,70,NC,2020-03-21 17:53:37,74,-20.23,164.02,79.3,15.73
495,elbistan,22,TR,2020-03-21 17:53:38,83,38.21,37.2,31.6,7.25
496,la solana,100,ES,2020-03-21 17:53:38,60,38.94,-3.24,53.01,1.99
497,bilma,0,NE,2020-03-21 17:53:38,9,18.69,12.92,87.94,9.17
498,ca mau,27,VN,2020-03-21 17:53:07,94,9.18,105.15,73.9,3.91
499,tharad,9,IN,2020-03-21 17:53:38,69,24.4,71.63,76.96,12.66
500,nushki,100,PK,2020-03-21 17:53:38,20,29.55,66.02,71.74,11.9
501,hualmay,66,PE,2020-03-21 17:53:38,51,-11.1,-77.61,82.36,11.5
502,jurilovca,90,RO,2020-03-21 17:53:38,71,44.77,28.87,50.0,6.93
503,pafos,20,CY,2020-03-21 17:53:38,62,34.77,32.42,57.2,9.17
504,pucallpa,90,PE,2020-03-21 17:53:38,94,-8.38,-74.55,75.2,2.24
505,kamina,100,CD,2020-03-21 17:53:38,95,-8.74,24.99,68.14,2.82
506,kangaatsiaq,100,GL,2020-03-21 17:53:38,89,68.31,-53.46,12.52,18.97
507,shihezi,0,CN,2020-03-21 17:53:38,55,44.3,86.03,46.0,3.4
508,zhigalovo,99,RU,2020-03-21 17:53:38,96,54.81,105.16,22.42,3.78
509,quimper,68,FR,2020-03-21 17:53:39,76,48.0,-4.1,55.4,11.41
510,carupano,2,VE,2020-03-21 17:53:39,52,10.67,-63.26,86.5,8.46
511,bhinmal,81,IN,2020-03-21 17:53:39,46,25.0,72.25,74.62,5.23
512,clairmont,75,CA,2020-03-21 17:53:39,78,55.27,-118.79,33.01,16.11
513,coahuayana,40,MX,2020-03-21 17:53:39,65,18.73,-103.68,77.0,6.93
514,salinopolis,100,BR,2020-03-21 17:53:39,78,-0.61,-47.36,79.12,6.33
515,dhidhdhoo,66,MV,2020-03-21 17:53:39,70,6.88,73.1,83.98,5.82
516,pishin,58,PK,2020-03-21 17:53:39,25,30.58,67.0,59.5,4.38
517,shimoda,20,JP,2020-03-21 17:53:39,60,34.67,138.95,51.01,1.99
518,havoysund,100,NO,2020-03-21 17:53:40,86,71.0,24.66,33.8,33.33
519,cairns,90,AU,2020-03-21 17:53:40,83,-16.92,145.77,77.0,10.29
520,los alamos,90,US,2020-03-21 17:49:47,64,35.89,-106.31,51.01,6.93
521,nizhniy tagil,96,RU,2020-03-21 17:53:40,89,57.92,59.97,22.06,5.14
522,mokhsogollokh,49,RU,2020-03-21 17:53:40,91,61.47,128.92,3.52,2.04
523,mahibadhoo,97,MV,2020-03-21 17:52:23,77,3.78,72.97,83.26,9.04
524,mbandaka,100,CD,2020-03-21 17:53:40,99,0.05,18.26,68.68,2.01
525,dharchula,92,IN,2020-03-21 17:53:40,68,29.85,80.53,35.56,7.16
526,san javier,75,ES,2020-03-21 17:53:40,93,37.81,-0.84,57.2,8.05
527,viedma,53,AR,2020-03-21 17:53:40,18,-40.81,-63.0,93.7,19.08
528,saint george,100,US,2020-03-21 17:51:06,57,37.1,-113.58,54.0,3.47
529,palmer,20,US,2020-03-21 17:53:40,22,42.16,-72.33,50.0,14.99
530,itanagar,0,IN,2020-03-21 17:53:40,57,27.1,93.62,64.72,4.59
531,kharp,66,RU,2020-03-21 17:53:40,91,66.8,65.81,-1.34,8.19
532,milesion,0,GR,2020-03-21 17:53:40,62,38.28,23.8,62.01,1.48
533,ballina,70,AU,2020-03-21 17:53:41,93,-28.87,153.57,66.99,6.93
534,portland,40,US,2020-03-21 17:53:41,57,45.52,-122.68,51.01,8.05
535,jining,79,CN,2020-03-21 17:53:41,39,35.41,116.58,53.2,9.51
536,abdanan,73,IR,2020-03-21 17:53:41,88,32.99,47.42,49.24,9.84
537,teknaf,46,BD,2020-03-21 17:53:41,79,20.86,92.31,64.0,1.72
538,dubbo,61,AU,2020-03-21 17:53:41,71,-32.25,148.62,55.4,8.05
539,baghdad,90,IQ,2020-03-21 17:53:41,76,33.34,44.4,51.8,14.99
540,santa maria,75,BR,2020-03-21 17:53:41,48,-29.68,-53.81,82.4,8.05
541,imeni poliny osipenko,100,RU,2020-03-21 17:53:41,80,52.42,136.49,13.6,2.28
542,itabira,40,BR,2020-03-21 17:53:41,73,-19.62,-43.23,77.0,3.36
543,deqing,75,CN,2020-03-21 17:53:42,93,30.54,119.96,68.0,4.47
544,punto fijo,0,VE,2020-03-21 17:49:02,61,11.7,-70.2,82.9,19.62
545,borovoy,100,RU,2020-03-21 17:53:42,48,55.43,86.08,39.2,13.42
546,zhuanghe,0,CN,2020-03-21 17:53:42,52,39.7,122.99,42.22,6.44
547,devrek,51,TR,2020-03-21 17:53:42,89,41.22,31.96,39.52,3.0
548,barvinkove,100,UA,2020-03-21 17:53:42,52,48.91,37.02,47.08,5.99
549,tautira,75,PF,2020-03-21 17:53:42,74,-17.73,-149.15,80.6,1.12
550,aguimes,40,ES,2020-03-21 17:53:42,48,27.91,-15.45,66.2,24.16
551,coolum beach,19,AU,2020-03-21 17:53:42,97,-26.53,153.1,69.01,2.26
552,hue,40,VN,2020-03-21 17:53:42,88,16.47,107.6,77.0,2.24
553,amaraji,20,BR,2020-03-21 17:52:07,66,-8.38,-35.45,87.8,10.29
554,mvuma,0,ZW,2020-03-21 17:53:42,59,-19.28,30.53,65.8,7.45
555,fredonia,40,US,2020-03-21 17:48:50,63,42.44,-79.33,33.01,10.29
556,lagos,20,NG,2020-03-21 17:53:42,70,6.58,3.75,89.6,10.29
557,bijie,80,CN,2020-03-21 17:53:42,79,27.31,105.29,56.8,2.93
558,mercedes,0,AR,2020-03-21 17:53:43,44,-34.65,-59.43,87.01,5.99
559,henties bay,1,NA,2020-03-21 17:53:43,89,-22.12,14.28,64.0,3.0
560,presidente olegario,61,BR,2020-03-21 17:53:43,74,-18.42,-46.42,79.66,6.6
561,lavrentiya,3,RU,2020-03-21 17:53:43,81,65.58,-171.0,3.34,7.63
562,zaraza,0,VE,2020-03-21 17:53:43,24,9.35,-65.32,97.66,7.18
563,garowe,33,SO,2020-03-21 17:50:50,67,8.41,48.48,80.92,15.19
564,eydhafushi,65,MV,2020-03-21 17:53:43,75,5.1,73.07,83.44,7.72
565,kieta,100,PG,2020-03-21 17:53:43,77,-6.22,155.63,81.1,5.75
566,asyut,0,EG,2020-03-21 17:53:44,48,27.18,31.18,60.8,13.87
567,aswan,0,EG,2020-03-21 17:53:44,14,24.09,32.91,69.8,18.34
568,wewak,92,PG,2020-03-21 17:53:44,87,-3.55,143.63,76.06,3.4
569,meulaboh,81,ID,2020-03-21 17:53:44,74,4.14,96.13,83.44,7.18
570,guangyuan,100,CN,2020-03-21 17:53:44,61,32.44,105.82,55.99,6.08
571,lundazi,84,ZM,2020-03-21 17:53:44,95,-12.29,33.18,67.06,6.87
572,kupang,27,ID,2020-03-21 17:53:44,76,-10.17,123.58,81.64,10.85
573,srednekolymsk,0,RU,2020-03-21 17:53:44,84,67.45,153.68,-6.92,5.3
574,laurel,90,US,2020-03-21 17:53:44,46,39.1,-76.85,53.01,3.36
575,bobrovka,85,RU,2020-03-21 17:53:44,96,54.05,61.75,26.92,8.43
576,abomsa,94,ET,2020-03-21 17:50:47,85,9.98,39.98,69.94,11.5
577,yerbogachen,58,RU,2020-03-21 17:53:44,97,61.28,108.01,1.0,5.26
578,banda aceh,36,ID,2020-03-21 17:53:44,80,5.56,95.32,74.08,3.87
579,hamina,36,FI,2020-03-21 17:53:44,30,60.57,27.2,30.2,2.24
580,torrijos,75,ES,2020-03-21 17:53:45,76,39.98,-4.28,53.01,2.24
581,katesh,56,TZ,2020-03-21 17:53:45,96,-4.52,35.38,59.86,3.89
582,waverly,90,US,2020-03-21 17:53:45,58,42.74,-84.62,34.0,6.93
583,kulhudhuffushi,54,MV,2020-03-21 17:53:45,70,6.62,73.07,83.8,5.95
584,kharovsk,70,RU,2020-03-21 17:53:45,82,59.96,40.19,17.74,5.46
585,visegrad,48,BA,2020-03-21 17:53:45,34,43.78,19.3,51.8,3.36
586,kibala,61,TD,2020-03-21 17:53:45,22,9.11,18.35,100.4,3.06
587,charters towers,2,AU,2020-03-21 17:53:45,94,-20.1,146.27,69.22,5.93
588,te anau,99,NZ,2020-03-21 17:53:45,78,-45.42,167.72,52.66,11.25
589,severomuysk,100,RU,2020-03-21 17:53:45,94,56.15,113.43,9.1,2.44
590,honningsvag,100,NO,2020-03-21 17:53:46,88,70.98,25.97,37.0,21.99
